@relation mqp_features

@attribute dt numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute rx numeric
@attribute ry numeric
@attribute rz numeric
@attribute rw numeric

@data
1475604591632.999936,0.844244,0.076641,-0.990341,-0.015979,-0.027697,-0.001065,?,?,?,?
1475604591660,1.044229,0.017963,-1.004711,-0.009587,-0.017044,0,?,?,?,?
1475604591740,0.895737,0.128134,-0.93286,-0.006392,-0.008522,-0.004261,?,?,?,?
1475604591758.000128,1.059796,-0.037123,-1.026266,-0.005326,-0.003196,-0.005326,?,?,?,?
1475604591788,1.117277,0.02395,-1.092129,-0.007457,0,-0.003196,?,?,?,?
1475604591844,0.997526,0.081431,-0.938848,-0.012783,0.02024,-0.002131,?,?,?,?
1475604591848,0.871787,0.046703,-1.126857,0,0.008522,-0.009587,?,?,?,?
1475604591904,0.905317,0.092208,-0.993933,-0.018109,0.005326,-0.005326,?,?,?,?
1475604591940.999936,1.020278,0.003593,-1.066981,-0.025566,-0.002131,-0.001065,?,?,?,?
1475604591976,0.968785,0.101788,-1.014291,0.002131,0.001065,-0.001065,?,?,?,?
1475604592006.000128,1.011896,0.106578,-0.990341,-0.008522,0.002131,0.001065,?,?,?,?
1475604592035.000064,1.034648,0.045505,-0.977168,-0.008522,0,0.002131,?,?,?,?
1475604592064,0.989143,0.00479,-1.110092,-0.010653,0,0,?,?,?,?
1475604592094.000128,0.968785,0.021555,-1.175955,-0.006392,0,0,?,?,?,?
1475604592120,0.907712,0.118553,-0.969983,0.004261,0.008522,0.001065,?,?,?,?
1475604592152.999936,0.94723,0.055085,-0.886157,-0.001065,0.006392,0,?,?,?,?
1475604592209.999872,0.963995,0.02395,-1.077759,0.003196,0.009587,0,?,?,?,?
1475604592239.000064,0.946033,0.037123,-1.005908,-0.004261,0.006392,0.002131,?,?,?,?
1475604592276,0.938848,0.079036,-1.090931,-0.004261,0.003196,0.006392,?,?,?,?
